Date,Open,High,Low,Close,Volume,Volume MA,K-line,D-line,Crossover,Crossunder
2020-03-13T15:25:00Z,254.62,255.27,252.36,252.43,276685,426211.7,NaN,NaN,NaN,NaN
2020-03-13T15:30:00Z,252.47,253.2,250.63,250.83,330405,414822.1,NaN,NaN,NaN,NaN
2020-03-13T15:35:00Z,250.84,252.91,250.67,251.7,296534,393720.05,NaN,NaN,NaN,NaN
2020-03-13T15:40:00Z,251.66,251.74,250.31,250.46,375355,389885.35,NaN,NaN,NaN,NaN
2020-03-13T15:45:00Z,250.5,251.38,249.59,249.68,388796,387444.85,NaN,NaN,NaN,NaN
2020-03-13T15:50:00Z,249.62,251.64,249.58,251.55,347000,379799.6,NaN,NaN,NaN,NaN
2020-03-13T15:55:00Z,251.54,254,251.43,252.98,430023,371975.85,NaN,NaN,NaN,NaN
2020-03-13T16:00:00Z,252.95,253.56,250.9,251.69,262494,354129.9,NaN,NaN,NaN,NaN
2020-03-13T16:05:00Z,251.73,252.65,250.84,252.11,203055,335800.15,NaN,NaN,NaN,NaN
2020-03-13T16:10:00Z,252.1,253.43,251.46,252.85,212741,323441.25,NaN,NaN,NaN,NaN
2020-03-13T16:15:00Z,252.86,253.65,252.25,252.73,196458,315999.85,NaN,NaN,NaN,NaN
2020-03-13T16:20:00Z,252.72,253.38,252.13,252.35,92050,300910.7,NaN,NaN,NaN,NaN
2020-03-13T16:25:00Z,252.22,253.03,251.75,252.15,109777,290284.75,NaN,NaN,NaN,NaN
2020-03-13T16:30:00Z,252.12,255.37,252.04,254.64,234287,290536.05,NaN,NaN,NaN,NaN
2020-03-13T16:35:00Z,254.67,254.98,253.73,254.81,150012,282657.6,NaN,NaN,NaN,NaN
2020-03-13T16:40:00Z,254.83,256.66,254.73,256.61,183660,277644.95,NaN,NaN,NaN,NaN
2020-03-13T16:45:00Z,256.56,257.08,255.915,256.69,147049,272964.15,NaN,NaN,NaN,NaN
2020-03-13T16:50:00Z,256.73,257.72,256.53,256.76,170436,262203.25,NaN,NaN,NaN,NaN
2020-03-13T16:55:00Z,256.72,256.85,255.12,255.34,144710,248258.45,NaN,NaN,NaN,NaN
2020-03-13T17:00:00Z,255.34,256.21,254.53,254.65,219038,238528.25,NaN,NaN,NaN,NaN
2020-03-13T17:05:00Z,254.665,255.17,254.16,254.6,130660,231227,NaN,NaN,NaN,NaN
2020-03-13T17:10:00Z,254.64,256.3,254.06,256.26,181113,223762.4,NaN,NaN,NaN,NaN
2020-03-13T17:15:00Z,256.3,256.93,255.69,256.74,217524,219811.9,NaN,NaN,NaN,NaN
2020-03-13T17:20:00Z,256.745,258.1,256.69,258,277423,214915.3,NaN,NaN,NaN,NaN
2020-03-13T17:25:00Z,258.015,258.89,257.69,258.64,221997,206575.35,NaN,NaN,NaN,NaN
2020-03-13T17:30:00Z,258.65,259.5,258.16,258.16,234393,200945,NaN,NaN,NaN,NaN
2020-03-13T17:35:00Z,258.15,258.29,256.77,257.87,223999,190643.8,NaN,NaN,NaN,NaN
2020-03-13T17:40:00Z,257.79,259.16,257.79,258.54,203578,187698,NaN,NaN,NaN,NaN
2020-03-13T17:45:00Z,258.53,259.63,258.53,259.58,205122,187801.35,NaN,NaN,NaN,NaN
2020-03-13T17:50:00Z,259.58,260.11,259.35,259.57,167924,185560.5,NaN,NaN,NaN,NaN
2020-03-13T17:55:00Z,259.57,259.66,258.69,259.33,130999,182287.55,NaN,NaN,NaN,NaN
2020-03-13T18:00:00Z,259.36,259.36,257.41,257.81,287746,192072.35,NaN,NaN,NaN,NaN
2020-03-13T18:05:00Z,257.82,258.54,255.44,256.67,452492,209208.1,NaN,NaN,NaN,NaN
2020-03-13T18:10:00Z,256.62,257.41,256.19,256.89,299985,212493,NaN,NaN,NaN,NaN
2020-03-13T18:15:00Z,256.88,257.76,256.45,256.59,298849,219934.85,NaN,NaN,NaN,NaN
2020-03-13T18:20:00Z,256.59,257.25,255.95,257.07,283437,224923.7,NaN,NaN,NaN,NaN
2020-03-13T18:25:00Z,257.08,257.1,255.47,255.67,174268,226284.65,NaN,NaN,NaN,NaN
2020-03-13T18:30:00Z,255.66,256.05,254.55,255.68,280955,231810.6,NaN,NaN,NaN,NaN
2020-03-13T18:35:00Z,255.74,256.02,254.08,254.2,232954,236222.8,NaN,NaN,NaN,NaN
2020-03-13T18:40:00Z,254.32,257.26,253.7,256.96,370692,243805.5,NaN,NaN,NaN,NaN
2020-03-13T18:45:00Z,256.97,257.15,255.72,255.97,305124,252528.7,NaN,NaN,NaN,NaN
2020-03-13T18:50:00Z,255.97,257.05,255.58,256.22,270483,256997.2,NaN,NaN,NaN,NaN
2020-03-13T18:55:00Z,256.2,257.19,255.97,257.02,213485,256795.25,NaN,NaN,NaN,NaN
2020-03-13T19:00:00Z,256.99,258.95,256.59,257.89,562361,271042.15,NaN,NaN,NaN,NaN
2020-03-13T19:05:00Z,257.93,258.8,257.56,257.71,265215,273203.05,NaN,NaN,NaN,NaN
2020-03-13T19:10:00Z,257.7,258.39,256.1,257.85,488707,285918.75,NaN,NaN,NaN,NaN
2020-03-13T19:15:00Z,257.83,258.61,257.36,257.99,367256,293081.6,NaN,NaN,NaN,NaN
2020-03-13T19:20:00Z,257.98,259.36,257.4,258.7,377390,301772.2,NaN,NaN,NaN,NaN
2020-03-13T19:25:00Z,258.73,259.59,258.19,258.93,337141,308373.15,NaN,NaN,NaN,NaN
